matchid,homeawaystatus,teamid,teamname,local_count,local_mins,local_starters,local_sub,local_bench,foreign_count,foreign_mins,foreign_starters,foreign_sub,foreign_bench,local_forward_mins,local_midfield_mins,local_defender_mins,local_goalkeeper_mins,foreign_forward_mins,foreign_midfield_mins,foreign_defender_mins,foreign_goalkeeper_mins,shots,fouls,corners,redCards,yellowCards,offsides,dribbles,goals,xgPerShot,avgDistance,xg,progressiveRuns,touchesInBox,foulsSuffered,shotsOnTarget,shotsBlocked,shotsOutsideBox,shotsOutsideBoxOnTarget,shotsOnPost,shotsWide,shotsFromBox,shotsFromBoxOnTarget,freeKicks,shotsFromDangerZone,totalThrowIns,leftThrowIns,rightThrowIns,possessionPercent,purePossessionTime,possessionNumber,avgPossessionDuration,reachingOpponentHalf,reachingOpponentBox,possession1-15,possession16-30,possession31-45,possession46-60,possession61-75,possession76-90,possession91-105,possession106-120,minutesOfPossession1-15,minutesOfPossession16-30,minutesOfPossession31-45,minutesOfPossession46-60,minutesOfPossession61-75,minutesOfPossession76-90,minutesOfPossession91-105,minutesOfPossession106-120,totalshots,withShots,positionalAttack,positionalWithShots,counterAttacks,freeKicksWithShot,cornersWithShot,tackles,interceptions,clearances,ppda,oppo_shots,oppo_fouls,oppo_corners,oppo_redCards,oppo_yellowCards,oppo_offsides,oppo_dribbles,oppo_goals,oppo_xgPerShot,oppo_avgDistance,oppo_xg,oppo_progressiveRuns,oppo_touchesInBox,oppo_foulsSuffered,oppo_shotsOnTarget,oppo_shotsBlocked,oppo_shotsOutsideBox,oppo_shotsOutsideBoxOnTarget,oppo_shotsOnPost,oppo_shotsWide,oppo_shotsFromBox,oppo_shotsFromBoxOnTarget,oppo_freeKicks,oppo_shotsFromDangerZone,oppo_totalThrowIns,oppo_leftThrowIns,oppo_rightThrowIns,oppo_possessionPercent,oppo_purePossessionTime,oppo_possessionNumber,oppo_avgPossessionDuration,oppo_reachingOpponentHalf,oppo_reachingOpponentBox,oppo_possession1-15,oppo_possession16-30,oppo_possession31-45,oppo_possession46-60,oppo_possession61-75,oppo_possession76-90,oppo_possession91-105,oppo_possession106-120,oppo_minutesOfPossession1-15,oppo_minutesOfPossession16-30,oppo_minutesOfPossession31-45,oppo_minutesOfPossession46-60,oppo_minutesOfPossession61-75,oppo_minutesOfPossession76-90,oppo_minutesOfPossession91-105,oppo_minutesOfPossession106-120,oppo_totalshots,oppo_withShots,oppo_positionalAttack,oppo_positionalWithShots,oppo_counterAttacks,oppo_freeKicksWithShot,oppo_cornersWithShot,oppo_tackles,oppo_interceptions,oppo_clearances,oppo_ppda,season
5580416,home,14866,Albirex Niigata,15,608,7,2,6,5,382,4,1,0,279,59,180,90,81,121,180,0,14,8,6,0,1,0,18,2,0.138,16.7,1.926,8,23,8,7,3,4,2,1,3,10,5,3,6,18,11,7,47,"1 day, 0:32:00",84,0:17:00,47,19,39,40,41,73,56,44,0,0,4:06:00,3:06:00,3:14:00,3:50:00,4:50:00,5:24:00,0:00:00,0:00:00,36,14,25,10,0,2,0,3,20,4,29.4,14,8,6,0,1,0,18,2,0.138,16.7,1.926,8,23,8,7,3,4,2,1,3,10,5,3,6,18,11,7,47,"1 day, 0:32:00",84,0:17:00,47,19,39,40,41,73,56,44,0,0,4:06:00,3:06:00,3:14:00,3:50:00,4:50:00,5:24:00,0:00:00,0:00:00,36,14,25,10,0,2,0,3,20,4,29.4,2024
5580416,away,14868,Tampines Rovers,14,626,7,4,3,6,364,4,0,2,27,317,192,90,184,90,90,0,17,8,5,0,0,1,16,4,0.138,16.8,2.351,15,21,8,8,1,7,3,0,8,10,5,1,7,12,5,7,53,"1 day, 4:00:00",78,0:21:00,49,18,61,60,59,27,44,56,0,0,6:24:00,4:44:00,4:40:00,1:25:00,3:51:00,6:54:00,0:00:00,0:00:00,42,16,27,7,3,0,3,3,25,16,13.3,17,8,5,0,0,1,16,4,0.138,16.8,2.351,15,21,8,8,1,7,3,0,8,10,5,1,7,12,5,7,53,"1 day, 4:00:00",78,0:21:00,49,18,61,60,59,27,44,56,0,0,6:24:00,4:44:00,4:40:00,1:25:00,3:51:00,6:54:00,0:00:00,0:00:00,42,16,27,7,3,0,3,3,25,16,13.3,2024
5580417,home,14867,Young Lions,15,647,7,2,6,5,343,4,0,1,90,197,270,90,90,163,90,0,18,6,11,0,3,3,33,1,0.133,17.2,2.397,15,30,10,4,5,5,1,1,8,13,3,5,8,28,8,20,56,"1 day, 1:45:00",118,0:13:00,75,21,60,33,61,58,66,63,0,0,5:33:00,2:35:00,4:01:00,3:46:00,3:46:00,6:02:00,0:00:00,0:00:00,57,16,41,9,1,2,5,2,27,8,11.8,18,6,11,0,3,3,33,1,0.133,17.2,2.397,15,30,10,4,5,5,1,1,8,13,3,5,8,28,8,20,56,"1 day, 1:45:00",118,0:13:00,75,21,60,33,61,58,66,63,0,0,5:33:00,2:35:00,4:01:00,3:46:00,3:46:00,6:02:00,0:00:00,0:00:00,57,16,41,9,1,2,5,2,27,8,11.8,2024
5580417,away,19382,Brunei DPMM,0,0,0,0,0,19,991,11,4,4,0,0,0,0,244,576,81,90,7,11,0,0,3,2,38,3,0.279,11.2,1.954,11,16,5,5,1,0,0,0,1,7,5,2,7,18,7,11,44,19:57:00,99,0:12:00,47,11,40,67,39,42,34,37,0,0,3:41:00,5:17:00,2:37:00,2:45:00,1:57:00,3:36:00,0:00:00,0:00:00,31,7,26,5,3,0,0,5,61,28,10.3,7,11,0,0,3,2,38,3,0.279,11.2,1.954,11,16,5,5,1,0,0,0,1,7,5,2,7,18,7,11,44,19:57:00,99,0:12:00,47,11,40,67,39,42,34,37,0,0,3:41:00,5:17:00,2:37:00,2:45:00,1:57:00,3:36:00,0:00:00,0:00:00,31,7,26,5,3,0,0,5,61,28,10.3,2024
5580418,home,14875,Hougang United,14,523,5,5,4,6,467,6,0,0,55,198,180,90,151,90,226,0,22,8,12,0,1,2,31,7,0.234,11.5,5.144,24,41,4,15,3,1,1,1,3,21,14,2,21,13,6,7,53,"1 day, 3:02:00",102,0:15:00,76,28,58,58,50,50,54,50,0,0,5:49:00,3:31:00,4:16:00,4:08:00,3:31:00,5:45:00,0:00:00,0:00:00,60,21,37,15,4,0,3,4,31,5,9.3,22,8,12,0,1,2,31,7,0.234,11.5,5.144,24,41,4,15,3,1,1,1,3,21,14,2,21,13,6,7,53,"1 day, 3:02:00",102,0:15:00,76,28,58,58,50,50,54,50,0,0,5:49:00,3:31:00,4:16:00,4:08:00,3:31:00,5:45:00,0:00:00,0:00:00,60,21,37,15,4,0,3,4,31,5,9.3,2024
5580418,away,14869,Lion City Sailors,13,478,5,5,3,7,512,6,0,1,71,193,124,90,180,81,251,0,8,4,1,0,1,3,8,1,0.079,18,0.6293,10,9,8,4,0,2,0,0,4,6,4,0,1,16,10,6,47,"1 day, 0:08:00",99,0:14:00,42,9,42,42,50,50,46,50,0,0,4:15:00,2:35:00,4:12:00,4:12:00,3:00:00,5:51:00,0:00:00,0:00:00,24,8,18,6,1,0,0,1,34,7,42.7,8,4,1,0,1,3,8,1,0.079,18,0.6293,10,9,8,4,0,2,0,0,4,6,4,0,1,16,10,6,47,"1 day, 0:08:00",99,0:14:00,42,9,42,42,50,50,46,50,0,0,4:15:00,2:35:00,4:12:00,4:12:00,3:00:00,5:51:00,0:00:00,0:00:00,24,8,18,6,1,0,0,1,34,7,42.7,2024
5580419,home,14870,Geylang International,14,540,6,2,6,6,450,5,0,1,90,240,120,90,90,180,180,0,15,8,6,0,2,2,30,4,0.161,17.9,2.422,13,23,11,9,1,5,3,0,5,10,6,1,6,16,6,10,52,22:50:00,96,0:14:00,48,18,48,54,46,57,45,63,0,0,5:08:00,2:39:00,3:47:00,3:03:00,2:26:00,5:44:00,0:00:00,0:00:00,42,13,27,9,1,1,2,0,38,21,25.3,15,8,6,0,2,2,30,4,0.161,17.9,2.422,13,23,11,9,1,5,3,0,5,10,6,1,6,16,6,10,52,22:50:00,96,0:14:00,48,18,48,54,46,57,45,63,0,0,5:08:00,2:39:00,3:47:00,3:03:00,2:26:00,5:44:00,0:00:00,0:00:00,42,13,27,9,1,1,2,0,38,21,25.3,2024
5580419,away,14871,Balestier Khalsa,14,499,6,3,5,6,450,5,0,1,5,85,319,90,270,180,0,0,17,13,7,1,3,2,23,4,0.161,17,2.74,17,22,7,9,4,6,2,1,3,11,7,3,7,15,9,6,48,21:04:00,92,0:13:00,50,18,52,46,54,43,55,37,0,0,5:32:00,2:15:00,4:25:00,2:21:00,3:01:00,3:26:00,0:00:00,0:00:00,40,15,31,11,0,1,3,4,33,19,12,17,13,7,1,3,2,23,4,0.161,17,2.74,17,22,7,9,4,6,2,1,3,11,7,3,7,15,9,6,48,21:04:00,92,0:13:00,50,18,52,46,54,43,55,37,0,0,5:32:00,2:15:00,4:25:00,2:21:00,3:01:00,3:26:00,0:00:00,0:00:00,40,15,31,11,0,1,3,4,33,19,12,2024
5580420,home,14875,Hougang United,14,527,6,2,6,6,463,5,1,0,4,253,180,90,193,90,180,0,15,7,3,0,0,3,24,0,0.079,20.4,1.189,16,11,13,3,2,9,3,0,10,6,0,2,5,20,13,7,56,"1 day, 4:05:00",95,0:17:00,68,9,52,53,54,41,71,70,0,0,4:52:00,3:39:00,5:20:00,3:31:00,4:12:00,6:29:00,0:00:00,0:00:00,41,14,33,8,1,1,2,1,39,9,9.6,15,7,3,0,0,3,24,0,0.079,20.4,1.189,16,11,13,3,2,9,3,0,10,6,0,2,5,20,13,7,56,"1 day, 4:05:00",95,0:17:00,68,9,52,53,54,41,71,70,0,0,4:52:00,3:39:00,5:20:00,3:31:00,4:12:00,6:29:00,0:00:00,0:00:00,41,14,33,8,1,1,2,1,39,9,9.6,2024
5580420,away,14870,Geylang International,13,478,5,3,5,6,512,6,0,0,104,102,182,90,90,258,164,0,7,13,4,0,2,3,19,1,0.161,17.4,1.127,11,11,6,2,2,2,0,0,3,5,2,1,2,22,13,9,44,21:58:00,91,0:14:00,47,9,48,47,46,59,29,30,0,0,4:30:00,3:17:00,4:37:00,5:03:00,1:41:00,2:47:00,0:00:00,0:00:00,25,7,18,5,0,1,0,3,46,11,14.9,7,13,4,0,2,3,19,1,0.161,17.4,1.127,11,11,6,2,2,2,0,0,3,5,2,1,2,22,13,9,44,21:58:00,91,0:14:00,47,9,48,47,46,59,29,30,0,0,4:30:00,3:17:00,4:37:00,5:03:00,1:41:00,2:47:00,0:00:00,0:00:00,25,7,18,5,0,1,0,3,46,11,14.9,2024
