,HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Year
0,Albirex Niigata,Tampines Rovers,2,1,26/2/17,2017
1,LC Sailors,Young Lions,6,1,27/2/17,2017
2,Hougang Utd.,Geylang Intl,2,0,27/2/17,2017
3,Balestier Khalsa,Warriors FC,1,2,28/2/17,2017
4,Tampines Rovers,Hougang Utd.,2,1,3/3/17,2017
5,DPMM FC,LC Sailors,1,3,3/3/17,2017
6,Young Lions,Albirex Niigata,0,5,4/3/17,2017
7,Geylang Intl,Balestier Khalsa,2,0,4/3/17,2017
8,Albirex Niigata,DPMM FC,2,0,9/3/17,2017
9,Warriors FC,Geylang Intl,1,1,10/3/17,2017
10,Balestier Khalsa,Tampines Rovers,0,1,11/3/17,2017
11,Hougang Utd.,Young Lions,2,0,11/3/17,2017
12,Tampines Rovers,Warriors FC,0,1,1/4/17,2017
13,LC Sailors,Albirex Niigata,2,2,1/4/17,2017
14,Balestier Khalsa,Young Lions,1,0,2/4/17,2017
15,DPMM FC,Hougang Utd.,2,0,2/4/17,2017
16,Balestier Khalsa,DPMM FC,2,1,7/4/17,2017
17,Geylang Intl,Tampines Rovers,0,4,8/4/17,2017
18,Warriors FC,Young Lions,4,3,8/4/17,2017
19,Hougang Utd.,LC Sailors,0,2,9/4/17,2017
20,Albirex Niigata,Hougang Utd.,2,0,14/4/17,2017
21,Young Lions,Geylang Intl,0,2,15/4/17,2017
22,DPMM FC,Warriors FC,3,5,15/4/17,2017
23,Geylang Intl,DPMM FC,2,0,20/4/17,2017
24,Balestier Khalsa,Albirex Niigata,0,3,21/4/17,2017
25,Warriors FC,LC Sailors,2,2,22/4/17,2017
26,Tampines Rovers,Young Lions,1,0,23/4/17,2017
27,Hougang Utd.,Balestier Khalsa,1,0,27/4/17,2017
28,LC Sailors,Geylang Intl,3,0,28/4/17,2017
29,DPMM FC,Tampines Rovers,0,1,28/4/17,2017
30,Albirex Niigata,Warriors FC,4,2,29/4/17,2017
31,LC Sailors,Balestier Khalsa,1,0,2/5/17,2017
32,Warriors FC,Hougang Utd.,0,2,11/5/17,2017
33,Geylang Intl,Albirex Niigata,0,1,11/5/17,2017
34,Tampines Rovers,LC Sailors,3,2,12/5/17,2017
35,Young Lions,DPMM FC,0,0,13/5/17,2017
36,Warriors FC,Balestier Khalsa,1,0,19/5/17,2017
37,Geylang Intl,Hougang Utd.,1,1,20/5/17,2017
38,Tampines Rovers,Albirex Niigata,1,4,21/5/17,2017
39,Young Lions,LC Sailors,1,2,21/5/17,2017
40,LC Sailors,DPMM FC,9,3,25/5/17,2017
41,Hougang Utd.,Tampines Rovers,0,3,25/5/17,2017
42,Albirex Niigata,Young Lions,8,0,26/5/17,2017
43,Balestier Khalsa,Geylang Intl,0,1,26/5/17,2017
44,Geylang Intl,Warriors FC,0,2,16/6/17,2017
45,Albirex Niigata,DPMM FC,4,0,16/6/17,2017
46,Tampines Rovers,Balestier Khalsa,3,1,17/6/17,2017
47,Warriors FC,Tampines Rovers,0,1,22/6/17,2017
48,Young Lions,Balestier Khalsa,0,0,22/6/17,2017
49,Albirex Niigata,LC Sailors,0,2,23/6/17,2017
50,Young Lions,Warriors FC,0,0,28/6/17,2017
51,Tampines Rovers,Geylang Intl,1,1,29/6/17,2017
52,LC Sailors,Hougang Utd.,2,3,30/6/17,2017
53,Geylang Intl,Young Lions,2,1,2/7/17,2017
54,Warriors FC,DPMM FC,1,0,2/7/17,2017
55,Hougang Utd.,Albirex Niigata,2,1,3/7/17,2017
