Position,PosSum,Age,TimePlayed,TeamStatus,CategoryN4,CategoryN3,CategoryN2,WinLose,PA%,Shots_PM,ShotsOT_PM,KeyPasses_PM,AerialsWon_PM,Touches_PM,TotalTackles_PM,Interceptions_PM,Clearances_PM,BlockedShots_PM,Fouls_PM,Dribbles_PM,Fouled_PM,Offsides_PM,Disp_PM,UnsTouchesRating_PM,Passes_PM,Crosses_PM,AccCrosses_PM,LB_PM,AccLB_PM,ThB_PM,AccThB_PM
GK,GK,27,90,1,0,0,0,1,79.3,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0.322,0,0,0.144,0.089,0,0
DC,DF,34,90,1,0,0,0,1,94.2,0.011,0.011,0,0.022,0.911,0.011,0.044,0.033,0.011,0.011,0,0.011,0,0,0,0.767,0,0,0.033,0.011,0,0
DC,DF,31,90,1,0,0,0,1,89.4,0,0,0,0.022,0.8,0,0,0.022,0,0.022,0,0,0,0,0,0.733,0,0,0.056,0.022,0,0
DC,DF,33,90,1,0,0,0,1,91.4,0,0,0,0.011,1.033,0,0.022,0.056,0.022,0,0,0,0,0,0,0.9,0,0,0.033,0.011,0,0
DMR,MD,27,90,1,0,0,0,1,78.7,0,0,0.011,0.011,0.778,0.022,0,0.011,0.022,0,0,0,0,0.022,0.022,0.522,0.022,0,0,0,0,0
DML,MD,26,56,1,0,0,0,1,90.7,0.011,0,0.022,0.011,0.6,0,0,0,0,0,0.011,0,0,0.011,0,0.478,0.022,0.011,0.022,0.011,0,0
MC,MD,20,90,1,0,0,0,1,88.5,0.033,0.011,0.011,0,1.2,0,0,0.033,0,0.022,0,0,0,0.022,0,1.067,0,0,0.056,0.044,0.011,0.011
MC,MD,23,90,1,0,0,0,1,86.7,0.011,0,0,0.011,0.878,0.011,0.011,0,0,0.033,0,0.056,0,0.011,0.033,0.667,0.044,0.011,0.022,0.011,0,0
AMC,MD,31,63,1,0,0,0,1,89.5,0.011,0.011,0.044,0,0.567,0.011,0,0,0,0.033,0,0,0,0.011,0.033,0.422,0.022,0,0.044,0.033,0.011,0.011
AMC,MD,31,90,1,0,0,0,1,97,0.022,0.011,0.044,0,0.956,0.011,0.011,0,0,0,0.011,0.022,0.011,0.011,0.033,0.733,0.044,0.011,0.022,0.022,0,0
FW,FW,30,70,1,0,0,0,1,76.5,0.044,0.011,0.011,0.022,0.333,0,0,0.011,0,0,0.011,0,0.011,0.011,0.022,0.189,0.022,0,0,0,0,0
Sub,SUB,28,27,1,0,0,0,1,100,0.022,0.022,0,0,0.144,0,0,0.022,0,0,0.011,0,0.022,0.011,0.011,0.056,0,0,0,0,0,0
Sub,SUB,23,34,1,0,0,0,1,94.7,0.011,0,0.011,0,0.267,0,0,0.011,0,0,0,0,0,0.011,0.011,0.211,0,0,0,0,0,0
Sub,SUB,26,20,1,0,0,0,1,85.7,0,0,0,0,0.267,0.011,0,0,0,0,0.011,0,0,0,0.022,0.156,0,0,0,0,0,0
Sub,SUB,37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,29,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,39,90,2,1,1,1,0,50,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.144,0.044,0,0
DR,DF,28,90,2,1,1,1,0,77.8,0,0,0.011,0.011,0.556,0.022,0,0.022,0.011,0,0,0,0,0,0,0.4,0.033,0.022,0.078,0.033,0,0
DC,DF,24,90,2,1,1,1,0,80,0,0,0,0.044,0.4,0,0,0.033,0.011,0,0,0,0,0,0,0.333,0,0,0.011,0,0.011,0
DC,DF,22,90,2,1,1,1,0,88.2,0,0,0,0,0.511,0,0.011,0.044,0.011,0,0,0,0,0,0,0.378,0,0,0.056,0.033,0,0
DL,DF,28,69,2,1,1,1,0,91.7,0,0,0.022,0.033,0.644,0.033,0.022,0.033,0,0.011,0.011,0.056,0,0.011,0.022,0.267,0.022,0.011,0.011,0,0,0
MR,MD,24,55,2,1,1,1,0,100,0.011,0,0,0,0.2,0,0,0,0,0.011,0,0.022,0,0,0.044,0.1,0.022,0,0,0,0,0
MC,MD,33,90,2,1,1,1,0,84.5,0,0,0.011,0.022,0.756,0.011,0.022,0.033,0.011,0,0,0,0,0,0.011,0.644,0,0,0.111,0.078,0,0
MC,MD,29,90,2,1,1,1,0,75,0.033,0.011,0.011,0,0.622,0.033,0,0.022,0.011,0.011,0.022,0,0,0.011,0,0.444,0,0,0.1,0.056,0,0
ML,MD,25,79,2,1,1,1,0,80.8,0.022,0.022,0.011,0,0.411,0.011,0,0.022,0,0.022,0,0.011,0.011,0,0.022,0.289,0.022,0.011,0.011,0,0,0
FW,FW,23,90,2,1,1,1,0,80,0.011,0.011,0,0.022,0.389,0.011,0.011,0.011,0,0,0,0.011,0.022,0,0.056,0.222,0,0,0,0,0.011,0
FW,FW,28,90,2,1,1,1,0,79.2,0.033,0.011,0.022,0.033,0.5,0.044,0.011,0,0,0.033,0.033,0.011,0.011,0.011,0.022,0.267,0.022,0,0.011,0.011,0.011,0.011
Sub,SUB,26,21,2,1,1,1,0,66.7,0.011,0,0.011,0,0.244,0,0,0,0,0,0,0,0,0.011,0,0.1,0.056,0.011,0,0,0,0
Sub,SUB,21,11,2,1,1,1,0,66.7,0.011,0,0,0,0.067,0.011,0,0,0,0,0,0.011,0,0,0,0.033,0,0,0,0,0,0
Sub,SUB,33,35,2,1,1,1,0,86.7,0.011,0,0,0,0.189,0,0,0,0,0.011,0,0,0,0,0,0.167,0,0,0,0,0,0
Sub,SUB,32,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,20,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,23,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,22,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,1,0,0,0,1,77.3,0,0,0,0,0.356,0,0,0.011,0,0,0,0,0,0,0,0.244,0,0,0.067,0.011,0,0
DR,DF,36,76,1,0,0,0,1,81.3,0,0,0,0.078,0.578,0.011,0.022,0.011,0,0.011,0,0,0,0.011,0.011,0.356,0.033,0,0.011,0.011,0,0
DC,DF,27,90,1,0,0,0,1,85.9,0.022,0.022,0.011,0.067,0.956,0.011,0,0.078,0.011,0,0.011,0,0,0,0,0.789,0,0,0.1,0.044,0.011,0.011
DC,DF,31,90,1,0,0,0,1,92.2,0,0,0,0.033,0.867,0.033,0.011,0.011,0.011,0.011,0.011,0.022,0,0,0.011,0.711,0,0,0.056,0.022,0,0
DL,DF,33,90,1,0,0,0,1,82.2,0,0,0,0.056,0.733,0,0.022,0.022,0,0,0.022,0.022,0,0,0,0.5,0.011,0,0.022,0,0,0
MC,MD,31,76,1,0,0,0,1,88.2,0.022,0.011,0.022,0.011,0.7,0,0.011,0.022,0,0.033,0.011,0,0,0.011,0.011,0.567,0,0,0.033,0.033,0,0
MC,MD,27,76,1,0,0,0,1,90,0.022,0,0.033,0,1.278,0.022,0,0.011,0,0.022,0,0.011,0,0,0.011,1,0.167,0.033,0.056,0.022,0,0
MC,MD,23,90,1,0,0,0,1,94.1,0.022,0,0,0.022,0.789,0.022,0.022,0.022,0,0.011,0,0.056,0,0.033,0.011,0.567,0,0,0.022,0.022,0,0
AMC,MD,31,90,1,0,0,0,1,90.2,0,0,0.033,0,0.822,0,0,0,0,0,0.033,0,0.011,0.022,0.033,0.678,0.056,0.022,0,0,0,0
FW,FW,28,90,1,0,0,0,1,76,0.078,0.022,0.011,0.022,0.622,0.022,0,0,0,0,0.044,0.022,0,0.056,0,0.278,0.033,0,0,0,0,0
